,fighter,first_name,last_name,middle_name,webpage
22,Gloria de Paula,Gloria,Paula,de,https://www.ufc.com/athlete/Gloria-de-Paula
39,Montana De La Rosa,Montana,Rosa,De,https://www.ufc.com/athlete/Montana-de-la-Rosa
90,Khalil Rountree Jr.,Khalil,Jr.,Rountree,https://www.ufc.com/athlete/Khalil-Roundtree-Jr.
133,Junior Dos Santos,Junior,Santos,Dos,https://www.ufc.com/athlete/Junior-Santos
143,Ovince Saint Preux,Ovince,Preux,Saint,https://www.ufc.com/athlete/Ovince-Preux
172,Geraldo de Freitas,Geraldo,Freitas,de,https://www.ufc.com/athlete/Geraldo-Freitas
174,Abdul Razak Alhassan,Abdul,Alhassan,Razak,https://www.ufc.com/athlete/Abdul-Alhassan
237,Germaine de Randamie,Germaine,Randamie,de,https://www.ufc.com/athlete/Germaine-Randamie
240,Yorgan De Castro,Yorgan,Castro,De,https://www.ufc.com/athlete/Yorgan-Castro
267,Mayra Bueno Silva,Mayra,Silva,Bueno,https://www.ufc.com/athlete/Mayra-Silva
289,Alessio Di Chirico,Alessio,Chirico,Di,https://www.ufc.com/athlete/Alessio-Chirico
293,Ji Yeon Kim,Ji,Kim,Yeon,https://www.ufc.com/athlete/Ji-Kim
380,Elizeu Zaleski dos Santos,Elizeu,Santos,Zaleski,https://www.ufc.com/athlete/Elizeu-Santos
535,Mark De La Rosa,Mark,Rosa,De,https://www.ufc.com/athlete/Mark-Rosa
554,Rafael Dos Anjos,Rafael,Anjos,Dos,https://www.ufc.com/athlete/Rafael-Anjos
577,Kyung Ho Kang,Kyung,Kang,Ho,https://www.ufc.com/athlete/Kyung-Kang
579,Dong Hyun Ma,Dong,Ma,Hyun,https://www.ufc.com/athlete/Dong-Ma
619,Douglas Silva de Andrade,Douglas,Andrade,Silva,https://www.ufc.com/athlete/Douglas-Andrade
713,Marco Polo Reyes,Marco,Reyes,Polo,https://www.ufc.com/athlete/Marco-Reyes
896,Antonio Carlos Junior,Antonio,Junior,Carlos,https://www.ufc.com/athlete/Antonio-Junior
1007,Anthony Rocco Martin,Anthony,Martin,Rocco,https://www.ufc.com/athlete/Anthony-Martin
1066,Mara Romero Borella,Mara,Borella,Romero,https://www.ufc.com/athlete/Mara-Borella
1112,Chris de la Rocha,Chris,Rocha,de,https://www.ufc.com/athlete/Chris-Rocha
1180,Chan Sung Jung,Chan,Jung,Sung,https://www.ufc.com/athlete/Chan-Jung
1594,Carls John De Tomas,Carls,Tomas,John,https://www.ufc.com/athlete/Carls-Tomas
1595,Antonio Braga Neto,Antonio,Neto,Braga,https://www.ufc.com/athlete/Antonio-Neto
1755,Alvaro Herrera Mendoza,Alvaro,Mendoza,Herrera,https://www.ufc.com/athlete/Alvaro-Mendoza
1834,Dong Hyun Kim,Dong,Kim,Hyun,https://www.ufc.com/athlete/Dong-Kim
1840,Kwan Ho Kwak,Kwan,Kwak,Ho,https://www.ufc.com/athlete/Kwan-Kwak
